公司,代码,上市板块,产业位置,对应节点,研究逻辑,研究观察样本
长电科技,600584.SH,主板,OSAT先进封装、SiP、Fan-Out、Chiplet相关布局,OSAT先进封装产能,先进封装承接能力较直观，需跟踪高端封装收入占比和海外客户。,高
通富微电,002156.SZ,主板,AMD等客户封测协同、Chiplet封装与测试,OSAT先进封装产能,与高性能计算客户联系紧密，适合观察国产封测承接能力。,高
华天科技,002185.SZ,主板,先进封装、晶圆级封装、存储与系统级封装,OSAT先进封装产能,产能布局较广，需拆分高端封装实际收入弹性。,中高
晶方科技,603005.SH,主板,晶圆级封装、TSV、传感器封装,TSV硅通孔,TSV与WLP能力具备映射价值，但应用领域需与AI主线区分。,中
深南电路,002916.SZ,主板,封装基板、PCB、电子装联,ABF封装基板,IC载板能力突出，需关注高端载板与AI服务器需求传导。,高
兴森科技,002436.SZ,主板,IC载板、封装基板、样板快件,ABF封装基板,载板国产化重要样本，需跟踪产能爬坡和客户验证。,高
生益科技,600183.SH,主板,覆铜板、电子材料、高频高速材料,ABF封装基板,上游材料映射基板升级，需区分ABF树脂相关能力。,中
华正新材,603186.SH,主板,高频高速材料、覆铜板、封装相关材料,ABF封装基板,具备材料扩散观察价值，需核实封装基板链条占比。,中
德邦科技,688035.SH,科创板,电子级胶粘剂、封装材料、底填胶相关,底填胶Underfill,材料国产替代弹性较强，需看客户验证和复购。,高
华海诚科,688535.SH,科创板,环氧塑封料、先进封装材料,环氧塑封料EMC,EMC材料卡口清晰，重点看高端封装产品等级和客户结构。,高
联瑞新材,688300.SH,科创板,球形硅微粉、功能性填料,环氧塑封料EMC,EMC上游关键填料，受先进封装低翘曲和高可靠要求带动。,中高
飞凯材料,300398.SZ,创业板,电子化学品、先进封装材料、光刻配套材料,临时键合/解键合材料,材料平台型公司，需验证先进封装材料收入兑现。,中高
雅克科技,002409.SZ,主板,半导体材料、前驱体、电子材料,材料耗材复购,材料平台属性强，先进封装直接映射需进一步拆分。,中
北方华创,002371.SZ,主板,刻蚀、沉积、清洗等半导体设备,电镀/CMP/清洗设备,设备平台型核心公司，先进封装设备占比需单独确认。,中高
中微公司,688012.SH,科创板,刻蚀设备、MOCVD等,TSV硅通孔,深硅刻蚀存在工艺映射，需看先进封装订单证据。,中
芯碁微装,688630.SH,科创板,直写光刻设备、PCB和泛半导体曝光,RDL重布线,RDL/载板图形化有映射价值，需区分应用场景。,中高
劲拓股份,300400.SZ,创业板,电子热工、半导体封装设备,先进封装设备,设备弹性取决于先进封装订单和验收节奏。,中
光力科技,300480.SZ,创业板,半导体划片、切割及检测相关设备,先进封装设备,后道设备映射较清晰，需关注高端封装客户导入。,中
华峰测控,688200.SH,科创板,半导体测试设备,高速ATE测试,测试平台国产化核心样本，需看高端SOC/功率/模拟平台拓展。,中高
长川科技,300604.SZ,创业板,测试机、分选机、自动化测试设备,高速ATE测试,测试设备国产替代代表，需看先进封装相关订单弹性。,中高
精测电子,300567.SZ,创业板,半导体量测检测、显示检测,X-ray/SAM/AOI检测,检测量测映射良率爬坡，需拆分半导体业务占比。,中
和林微纳,688661.SH,科创板,MEMS探针、测试探针,探针卡与晶圆测试,KGD和晶圆测试前移带动探针需求，需看高端客户导入。,中高
飞荣达,300602.SZ,创业板,导热、电磁屏蔽和散热材料,热界面材料与散热,AI服务器热管理扩散样本，需拆分数据中心收入。,中
中石科技,300684.SZ,创业板,导热材料、石墨散热材料,热界面材料与散热,热管理受益于AI功耗上升，需确认服务器链条占比。,中
